2025-08-20 16:55:58 - INFO - Inputs:
2025-08-20 16:55:58 - INFO -  --> input_file = example_input.xlsx
2025-08-20 16:55:58 - INFO -  --> output_folder = example_output
2025-08-20 16:55:58 - INFO -  --> seed = 321
2025-08-20 16:55:58 - INFO -  --> unavailable = NIET
2025-08-20 16:55:58 - INFO -  --> clip_bot = 1
2025-08-20 16:55:58 - INFO -  --> clip_upp = 41
2025-08-20 16:55:58 - INFO -  --> net = False
2025-08-20 16:55:58 - INFO -  --> tabu_length = 4
2025-08-20 16:55:58 - INFO -  --> perturbation_length = 50
2025-08-20 16:55:58 - INFO -  --> n_iterations = 500
2025-08-20 16:55:58 - INFO -  --> m = 7
2025-08-20 16:55:58 - INFO -  --> p = 1000
2025-08-20 16:55:58 - INFO -  --> r_max = 4
2025-08-20 16:55:58 - INFO -  --> alpha = 0.5
2025-08-20 16:55:58 - INFO -  --> beta = 0.01
2025-08-20 16:55:58 - INFO -  --> cost_excessive_rest_days = 500.0
2025-08-20 16:55:58 - INFO - PROCESSING LEAGUE > LEAGUE A
2025-08-20 16:55:59 - INFO - Read and parsed input data
2025-08-20 16:55:59 - INFO - Phase 1: Construction
2025-08-20 16:55:59 - INFO - Initialized schedule using method 1 with cost 3274.0
2025-08-20 16:56:00 - INFO - Initialized schedule using method 2 with cost 848.0
2025-08-20 16:56:00 - INFO - Comparing costs 3274.0 vs. 848.0
2025-08-20 16:56:00 - INFO - Initialization method 2 is best
2025-08-20 16:56:00 - INFO - Phase 2: Tabu & perturbation
2025-08-20 16:56:03 - INFO - Iteration   195  ->  Cost =   809.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   196  ->  Cost =   809.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   197  ->  Cost =   809.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   198  ->  Cost =   804.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   199  ->  Cost =   807.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   200  ->  Cost =   807.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   201  ->  Cost =   817.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   202  ->  Cost =   817.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   203  ->  Cost =   817.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   204  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   205  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   206  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   207  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   208  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   209  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   210  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   211  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   212  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   213  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   214  ->  Cost =   815.0 | Rest days = 1
2025-08-20 16:56:03 - INFO - Iteration   215  ->  Cost =   815.0 | Rest days = 1
